AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Diospyros quiloensis,5,18586,Diospyros,quiloensis,Ebenaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Diospyros suaveolens,2,18604,Diospyros,suaveolens,Ebenaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Diospyros whyteana,17,18630,Diospyros,whyteana,Ebenaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Diospyros zombensis,2,18635,Diospyros,zombensis,Ebenaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Discoglypremna caloneura,5,18868,Discoglypremna,caloneura,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Distemonanthus benthamianus,2,18963,Distemonanthus,benthamianus,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dombeya kirkii,4,19113,Dombeya,kirkii,Sterculiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Dovyalis abyssinica,2,19183,Dovyalis,abyssinica,Flacourtiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dovyalis longispina,9,19187,Dovyalis,longispina,Flacourtiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Drypetes angustifolia,4,19436,Drypetes,angustifolia,Euphorbiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Drypetes arguta,6,19437,Drypetes,arguta,Euphorbiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Drypetes gerrardii,6,19447,Drypetes,gerrardii,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Drypetes molunduana,2,19462,Drypetes,molunduana,Euphorbiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Drypetes natalensis,13,19465,Drypetes,natalensis,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Drypetes paxii,11,19468,Drypetes,paxii,Euphorbiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Drypetes reticulata,2,19471,Drypetes,reticulata,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Drypetes usambarica,2,19479,Drypetes,usambarica,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Dussia mexicana,14,19591,Dussia,mexicana,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Ekebergia capensis,27,19905,Ekebergia,capensis,Meliaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Elaeis guineensis,9,19928,Elaeis,guineensis,Arecaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Elaeodendron croceum,2,20000,Elaeodendron,croceum,Celastraceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Embelia schimperi,76,20453,Embelia,schimperi,Myrsinaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Englerophytum natalense,16,20607,Englerophytum,natalense,Sapotaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
